"## [100] ""thalassemia""                                          ",# # [ 100 ]“地中海贫血”
"## [101] ""Hepatocellular carcinoma (HCC)""                       ",# # [ 101 ]“原发性肝细胞癌（HCC）”
"## [102] ""endometriosis""                                        ",# # [ 102 ]“子宫内膜异位症”
"## [103] ""medulloblastoma ""                                     ",# # [ 103 ]“髓母细胞瘤”
"## [104] ""renal clear cell carcinoma""                           ",# # [ 104 ]“肾透明细胞癌”
"## [105] ""pulmonary hypertension""                               ",# # [ 105 ]“肺动脉高压”
"## [106] ""adrenocortical carcinoma""                             ",# # [ 106 ]“肾上腺皮质癌”
"## [107] ""squamous carcinoma""                                   ",# # [ 107 ]“鳞状细胞癌”
"## [108] ""Malignant mesothelioma (MM)""                          ",# # [ 108 ]“恶性间皮瘤（MM）”
"## [109] ""myeloproliferative disorder""                          ",# # [ 109 ]“骨髓增生性疾病”
"## [110] ""coronary artery disease""                              ",# # [ 110 ]“冠心病”
"## [111] ""meningioma""                                           ",# # [ 111 ]“脑膜瘤”
"## [112] ""prostate cance""                                       ",# # [ 112 ]“前列腺癌”
"## [113] ""prion disease""                                        ",# # [ 113 ]“朊病毒”
"## [114] ""retinoblastoma""                                       ",# # [ 114 ]视网膜母细胞瘤”
"## [115] ""anxiety disorder""                                     ",# # [ 115 ]“焦虑症”
"## [116] ""chronic myeloid leukemia (CML)""                       ",# # [ 116 ]“慢性粒细胞白血病（CML）”
"## [117] ""skin disease""                                         ",# # [ 117 ]“皮肤病”
"## [118] ""homozygous sickle cell disease (HbSS)""                ",# # [ 118 ]“纯合子镰状细胞病（HBSS）”
"## [119] ""congenital heart disease""                             ",# # [ 119 ]“先天性心脏病”
"## [120] ""Burkitt lymphoma""                                     ",# # [ 120 ]“伯基特淋巴瘤”
"## [121] ""endometrial cancer""                                   ",# # [ 121 ]“子宫内膜癌”
"## [122] ""Inclusion body myositis (IBM)""                        ",# # [ 122 ]“包涵体肌炎（IBM）”
"## [123] ""hearing loss""                                         ",# # [ 123 ]“耳聋”
"## [124] ""melanoma""                                             ",# # [ 124 ]“黑色素瘤”
"## [125] ""Waldenstrom Macroglobulinemia (WM)""                   ",# # [ 125 ]“Waldenstrom Macroglobulinemia（WM）”
"## [126] ""diabetic nephropathy""                                 ",# # [ 126 ]“糖尿病肾病”
"## [127] ""thyroid cancer""                                       ",# # [ 127 ]“甲状腺癌”
"## [128] ""lymphoproliferative disease""                          ",# # [ 128 ]“淋巴病”
"## [129] ""Obesity""                                              ",# # [ 129 ]“肥胖”
"## [130] ""Spinocerebellar ataxia 1""                             ",# # [ 130 ]“脊髓小脑共济失调1型”
"## [131] ""alcoholic liver disease (ALD)""                        ",# # [ 131 ]“酒精性肝病（ALD）”
"## [132] ""Polycystic liver disease""                             ",# # [ 132 ]“多囊肝”
"## [133] ""teratocarcinoma""                                      ",# # [ 133 ]“畸胎瘤”
"## [134] ""ulcerative colitis (UC)""                              ",# # [ 134 ]“溃疡性结肠炎（UC）”
"## [135] ""vesicular stomatitis""                                 ",# # [ 135 ]“水泡性口炎”
"## [136] ""Glomerulosclerosis""                                   ",# # [ 136 ]“硬化”
"## [137] ""B-cell lymphoma""                                      ",# # [ 137 ]“B细胞淋巴瘤”
"## [138] ""glomerular disease""                                   ",# # [ 138 ]“肾小球疾病”
"## [139] ""follicular thyroid carcinoma (FTC)""                   ",# # [ 139 ]“甲状腺滤泡癌（FTC）”
"## [140] ""hypertension""                    ",# # [ 140 ]“高血压”
"## [141] ""adenoma""                                              ",# # [ 141 ]“腺瘤”
"## [142] ""hamartoma""                                            ",# # [ 142 ]“错构瘤”
"## [143] ""lipoma""                                               ",# # [ 143 ]“脂肪瘤”
"## [144] ""myoma""                                                ",# # [ 144 ]“肌瘤”
"## [145] ""sarcoma""                                              ",# # [ 145 ]“肉瘤”
"## [146] ""neutrophilia""                                         ",# # [ 146 ]“中性”
"## [147] ""diarrhea predominant irritable bowel syndrome (IBS-D)""",# # [ 147 ]“腹泻型肠易激综合征（IBS-D）”
"## [148] ""HBV-related cirrhosis""                                ",# # [ 148 ]“乙肝肝硬化”
"## [149] ""frontotemporal dementia""                              ",# # [ 149 ]“额颞叶痴呆”
"## [150] ""rhabdomyosarcoma (RMS)""                               ",# # [ 150 ]“横纹肌肉瘤（RMS）”
"## [151] ""Head and neck cancer""                                 ",# # [ 151 ]”的头部和颈部癌症”
"## [152] ""tourette's syndrome""",# # [ 152 ]“抽动秽语综合征”
